id	document
13358752	난 이거 재미있던데... 영화는 보고 조롱하는 건가? 단지 시각이 독특하다고해서 본인이 이해 못한다고 해서 그렇게까지 박할만큼 저질인 영화는 아닌 것같은데...
13334306	이 영화를 모독하지마라! 클레멘타인의 아성에 맞먹는 영화다!
13296512	실제로 개봉당시 썸타는 여자한테 유겨서 이걸 봤음. 지금쯤 애낳고 잘 살고 있것지?
13289855	영화관에서봤었는데재미없었어요.
13149100	허어 이영화가 매트릭스의 원조격인건 알고나 있는거냐? 시대를 앞서간 희대의 비운작이다
13122688	수많은 투자자들을 성냥팔이로 만들어버린 바로 그 영화. 장선우.아직도 제주도에 숨어사나?
13106334	명작은 20년이란 긴 시간을 관통하며 얻어지는 명성입니다성냥팔이 소녀의 재림이 나온지 올해로 15년입니다5년 후 이 영화가 어떤 평가를 받을지 무서울정도입니다
13067640	와~~~짝짝 역시네요
12978055	시대를 앞서갔다고 생각했었는데... 15년이 지난뒤에도 모르겠다. 15년이 더지나면 알수있을까...
12966487	니가 리얼보단 잼나당.
12943978	이영화를 이을 영화가 또 나왔습니다 리이이얼~
12913568	이 숫자보단 낫습니다.
12902895	진심 궁금한데 줄거리가 뭐에요? 차마 볼 엄두는 안나고
12826198	그래도 이 영화는 '실험적'이라는 변명거리라도 있다.
12814113	100억으로 무슨짓을 한거야
12805624	이제 맘 놓으세요. 리얼이 있자나요.
12801046	세상은 아직 살만한 곳이다...
12789089	2017년 상반기에 이를 뛰어 넘는 더 엄청난 대작이 나왔으니 이 작품은 이제 불후의 고전 명작 정도로 하고 이만 보내주는게 맞지 싶습니다. 별점은 9점 드립니다. 10점은 그 영화에 주고 왔거든요.
12787042	나무아미타불, 관셈보살 ~
12786607	나,,,..,ㄱ ㅣ므,옥,자8,십2ㅡ세,,,이ㅡ신ㄱ ㅣ흐ㅏㄴ,거보골엎,던,,.,이,,발이나았어,,,:::^^튼,,,,니,.;가ㅡ피1ㅡㄹ요가,,엎...네.;;^^^
12785249	농담 안하고 이게 리얼보단 재밌다
12785247	이 영화 덕분에 한동안 영화계가 투자가 안됐다는 후문이 있었다고....이 영화상영 된지가 벌써 15년이 되었는데 아직도 보고난 뒤의 분노가 잊혀지지 않고 있다.
12781850	중국집에서 짜장면을 시키고 이 영화를 보던 도중 배달부가 저에게 총을 쏘았습니다
12781052	리얼때문에 재평가됨.. 재미도 있고 작품성도 있음
12776790	그래서 재개봉은 언제 하나요?! 꼭 보고싶어요! 재개봉 부탁 드립니다! 그리고 똑같은 배우들로해서 2탄 만들어 주세요! 부탁 드립니다!!
12773209	극장에서 리얼보고 영화 다시 봤지만 이건 명작입니다.
12770644	전 재미 있게 보았읍니다.참고로 전 영화광현실을 기반으로 하지 않아 평점이 낮은듯우리나라도 가상세계 컬트식 영화의 유일한 명작이라 생각함이블데드 같은 가상의 세계관임추천
12768440	베댓에서 이것보다 못만들어진 영화는 없다고 했는데 리얼은...네 여기까지 하겠습니다..
12768298	조만간 평점 올라가는건가요?
12766690	리얼이 과연 이 영화를 뛰어넘을 수 있을까
12756812	그 어려운 걸 한국 영화가 해냈습니다.
12738784	이게 그 유명한 '자장면 배달 가서 총 갈기는 장면'이 나오는 영화인가요 ^^
12711503	짜장면 씬 밖에 생각이 안남
12680150	클레멘타임급이네10자10자
12675579	이 영화를 보고 가슴이 두근거려서 밤에 잠을 못잤어요 ㅎ
12656019	ㅜ.ㅜ ㅠ.ㅜ ㅜ.ㅠ ㅜ.ㅜ ㅜ.ㅜ ㅜ.ㅜ ㅜ.ㅜ ㅠ.ㅠ
12634425	한국영화 사상 가장 값비싸고 쓸데없는 실험
12633714	짜장면으로 맞아볼래?
12631056	이영화를 재미있게 보는분들이라면 심각하게 한강이나 정신병원을 고려해보시는편이 좋을듯합니다
12625167	짜장면으로 맞아볼려?
12605592	정말재밌는영화임욕하는사람들이해안감. 영화를이해못하는사람들인듯. 와아. 재밌다
12598500	이건 -10점을 주고싶은 제 마음
12577950	정말 감명 깊게 봤네요 교도소 수감자들에게 반복재생 시켜서 보여주고 싶은 영화에요!
12564645	충무로의 아포칼립스.세상이 멸망하여영화 제작자들이 모두 죽어서이런 영화가 나왔다는 설정.나는 그렇게 믿고 싶다.
12563519	그냥 존나게 난장판만 보고 나왔다 하다하다 안되서 좀 돌려봤는데 엔딩도 약을 거하게 빨은건지 모르겠다. 전체적으로 싹 다 엉켜져있어 시청을 거부하게 만듬
12550456	이영화는 혁명이다. 매트릭스를 능가했다....
12531425	숨어있는 희대의 명작이네요. 제5원소를 처음 봤을때의 충격과 신선함을 또 한번 느낄 수 있는 작품이었습니다!!
12525214	심영래가 나오던 영화를 좋아해 수십번도 더 봤지만어릴때에도 이영화는 희대의 괴작이라 생각해 안봤던게 기억난다..얼마나 기억이 강했으면 20년이 지난 지금도 생생하다
12507913	영화의 교본과도 같은 작품입니다.
12489804	내 인생 최고의 영화다. 기억에 잊혀지지 않는다. 남들도 모두 이 영화를 꼭 봤으면 좋겠다. 죽기전에 무 조 건 봐야한다. 모두 이 영화를 보라고 10점 주고간다. 꼭봐라 꼭
12484761	욕을 해도해도 모자라네 ㅎㅎ
12423549	0점은 ... 못주나?
12404306	보다가 중간에 포기한에 내 첫 영화
