id	document
6763213.0	성냥팔이 소녀가 재림할지라도,1점은 면할 길이 없겠다.개봉한지 10년이지난후인데도,장선우를 아직도 실업자신세로 만든 졸작.장선우~~노숙자 안된것만도,천만다행이다.자기자신이 제작자로 나서서,제작비 전액은행대출 받았으면,일가족집단변사라는,참사를 불렀을꺼다
1612158.0	틀어놓고 만화책만 봤다는..
1954578.0	1점도 아까워
7156960.0	괴작 of the 괴작. 1점도 아깝다 -_-;;
3920400.0	그야말로 재양이었도다.
1019593.0	3점대 너무 한데..밸런스 유지
3345080.0	쯧쯧쯧쯧쯧쯧쯧쯧쯧쯧쯧쯧쯧...
9986834.0	비디오 테이프로 빌려보던게 생각나네 개후회 재미없음
1593541.0	돈아까워........
1408436.0	ocn으로 봐도 돈아까운 영화..
5635593.0	맙소사 이게 정녕 2002년 작품이란말인가!
881576.0	임은경은 참신한데....
1684075.0	강타 팬인 누나 때문에 비디오로 봤는데 욕나오는 포스...ㅠㅠ
1086524.0	뻥안치고 볼만했는데 내가 그떄너무 어렸던거같아..
12675579.0	이 영화를 보고 가슴이 두근거려서 밤에 잠을 못잤어요 ㅎ
1668027.0	꺄르르르르 정말 손에 땀을 쥐게하는 공포 였어여.. 여름에 보면 시원할듯
3172215.0	이게 영화냐
240070.0	소재는 좋았지만,, 코믹도 아니면서 어처구니 없는. 그 뭐랄까.
1566638.0	이해 불가
4599600.0	오랜만에 꿀맛같은 잠을 줬음
7182755.0	이런 똥은 내인생에 다시는 없을듯...
1938365.0	쓸데없는 cg남발.. 성소의 말도안대는 개난사 -- 한숨만 나옴..
1174378.0	대세는 다세포 =ㅁ=
6072972.0	성지순례 왔습니다 ㅋㅋㅋㅋㅋ
1516516.0	시간을 돌려달라;
1290410.0	제작비 때문에 2점 뭔 내용이냐고.....
2680447.0	브라보
6025653.0	참신하다
1418864.0	매트릭스가 심히 인상깊었나봐
3782487.0	레알재밌네여 <코프리카>
1965429.0	나는 관대하다
