id	document
13388765	ㅎㅎㅎ 천둥의신 토르.. 그걸 이제야 앎..ㅎㅎㅎ
13388756	믿고 보는 마블!스토리, 연기, CG 완벽하다다리위에서 전투할때 ost 너무 좋았다 캐굳. 다음 시리즈도 기대됩니다
13388753	너무 재밌어요! 지루하지 않고 밝고마블 특유의 느낌이 좋아요!안보신분들 꼭 보세요!ㅎㄹ
13388751	재밌었어요 나름 토르 천둥의신!
13388748	유쾌한 유머가 많아서 즐거웠어요. 이때까지의 토르 시리즈의가 좀 무거운 느낌이었다면 이 번 작품은 배경은 전작들과 마찬가지로 어두운 느낌이었지만 주연 조연 가리지 않는 유머러스함에 수작이 된거 같아요. 대본 누가 적었는지 정말 짱이라는~*
13388742	안 볼 수가 없는 마블사 믿고 봅니다! 모든 캐릭터가 사랑스럽고 매력적이예요.
13388741	짱짱맨인데 장산역 롯데시네마는 망해아
13388735	아이들과 정말 재밌게 잘봤어요 ㅋㅋ
13388729	(헬라를 보며) 혼자왔니?
13388726	꿈잼.너무 흥미진진 합니다!
13388704	볼만함볼만함볼만함볼
13388681	지금껏 토르는 아스가르드의 특색이 그렇게 도드라지지는 않았다 어차피 계속 돌아다니는게 더 많았고 지구에서의 등장시간이 월등히 높기 때문에, 하지만 이번이 가장 아스가르드에서의 전투를 잘 살렸다는거는 아무도 부정 못할 듯
13388677	볼만하지만 불혹이 가까운 나이에 보기엔 좀 좀 그렇고 화려한거 좋아하는 젊은이들이 보기엔 더 나을듯
13388673	즐겁게 봤습니다! 킬링타임용으로 최고!!
13388666	시간 가는 줄 모르고 재밌게 봤어요 꿀잼 강추~
13388663	토르 머리 자른거 보고 반했습니다 네
13388649	헬라와 발키리 캐릭터에 별 두개씩 바칩니다ㅠㅠㅜ헬라랑 전투 회상씬 존좋그 둘로 프리퀄 찍어주세요 제에엥에에발ㅜㅜ
13388646	죽음의 여신님의 영화 여신님 사랑해요
13388641	토르와 헐크가 펼치는 코믹액션이재밋어요
13388634	역쉬??천둥의신토르짱?잼나여
13388629	재미있네요 토르 라그나로크
13388627	개존잼..ㄷㄷ 마블 세계관 진짜 짱!!
13388624	역대 마블영화중 가장 유쾌하고 맘에드는 작품. 적절한 유머가 극 전개를 해치지 않으면서도 작품 전반에 깔려있어 시간 간느줄 모르고 보았다. 12000원이 아깝지 않았던 영화
13388618	난 그냥그랬네요걍 킬링타임
13388613	내가느끼기엔 이것저것 섞은 잡탕 같은 영화였다.
13388603	재밌어요 !!! 인정 진짜
13388590	예고편 낚시가 이렇게 좋은 적은 없었다.
13388567	재밌네요 아아아아~ 아앙
13388566	친구들과 같이 재밌게 본거같아서 좋네요
13388542	킬링타임용. ,갠적으루 1,2가 더 조앗다
13388537	아직도 안본사람있나? 옛날꺼랑 비교하지마라
13388535	그들만의 코드가 잘 맞물렸다. 단발의 편함을 얻은대신 안대의 불편....
13388521	역시 마블은 이런 맛에 보는 것임
13388520	생각보다 재미있었다. 마블영화는 항상 기대감이 있다
13388511	좋음!! 토르의 아스가르드 동료들이 좀 더 활약했으면 좋았을텐데
13388497	뭐~ 토르만의 매력은 상실했지만 재밌는건 사실
13388496	예매하고 잠들어서 못봄
13388484	액션의 끝을보여주는영화
13388478	영화가 상당히 재밌습니다.
13388477	굿굿 재밌었어용 굿굿굿
13388441	애들이랑은 볼만한데 ㅋㅋ 암튼 재미나겠봤어요
13388432	진짜 내인생코미디영화 ㅋㅋㅋㅋ졸잼
13388425	!!!!?♂??♂??♂??♂?
13388415	킬링타임으론 괜춘한듯
13388397	재밌는데 뭔가 난잡하기도...
13388395	앤트맨보다 훨재밌음 가오갤시리즈,스파이더맨홈커밍보다 좀더 재밌음 아연맨2만큼 재밌음
13388390	역대 최고로 신나게 본 영화
13388351	시리즈 한번도 안보신 분이라면 토르1,2 보고 보시는걸 추천해요
13388333	기대를 많이했나봄. 볼만은했는데 허접한부분이 군데군데 좀 보였음. 탄탄하지못하다고나할까
13388282	굿굿굿ㅣ굿굿굿굿ㅇ굿
13388279	좋다 진짜 기대이상이다
13388218	넘재밌음 지루하지도 않고 순간순간 다재밌다
13388210	넘넘 재밌어영ㅎㅎ엄청 강추
13388200	영화보는 내내 눈과 귀가 황홀했음 그리고 진짜 마블덕후라면 영화중간중간에 나오는 장면들이 재미를 불러일으켰을듯ㅋㅋㅋㅋ
13388165	토르1보고 두번째 본건데 마블영화 빠져서 다른거 두개 더봄. 그래도 이 영화 여운이 안가심ㄷㄷ
13388159	재미쪄 토르 머시쪄 번개쳐쪄
13388138	그냥 그저 그대로 존잼 핵잼
13388122	재밌게 잘 봤어요 토르랑 헐크 짱짱
13388114	토르 전편들은 봐도 감흥이 없었는데, 토르와 헐크의 몸 개그 너무 재미있었습니다. 머리 자르니까 더 멋있어요ㅋㅋ
